PN,Nome,Descrição,UN,Importância,Tipo / Categoria,Local,Estoque Atual,Mínimo (30 dias),Máximo ( 60 dias),LEADTIME TOTAL
29TP0016,FITA DE DEMARC. SOLO ZEBRADA VERDE/BRANCA TAM. 48MMX30M,,UN,Importante,Consumivel,MRO-17,6,10,20,25 dias
29TP0017,FITA DE DEMARC. SOLO ZEBRADA VERMELHA/BRANCA TAM. 48MMX30M,,UN,Importante,Consumivel,,0,5,10,25 dias
29TP0018,FITA DE EMENDA CARRETEL SMT 12 MM,,CX,Importante,Consumivel,MRO-16,16,2,4,25 dias
29TP0019,FITA DE EMENDA CARRETEL SMT 8 MM,,UN,Importante,Consumivel,MRO-16,0,2,4,25 dias
29TP0020,FITA DE IMPRESSORA NYLON PRETO 13MM X 4M,,UN,Importante,Consumivel,MRO-20,33,15,30,25 dias
29TP0021,FITA DE ISOLANTE AMARELA 18MM X 20M,,UN,Importante,Consumivel,MRO-21,12,30,60,20 dias
29TP0022,FITA DE ISOLANTE AZUL 18MM X 20M,,UN,Importante,Consumivel,MRO-21,31,15,30,25 dias
29TP0023,FITA DE ISOLANTE PRETA 18MM X 20M,,UN,Importante,Consumivel,MRO-21,7,20,40,20 dias
29TP0024,FITA DE ISOLANTE VERDE 18MM X 20M,,UN,Importante,Consumivel,MRO-21,30,15,30,25 dias
29TP0025,FITA DE ISOLANTE VERMELHA 18MM X 20M,,UN,Importante,Consumivel,MRO-21,45,15,30,25 dias
29TP0026,FITA DUPLA FACE 3M 19MM X 20M,,UN,Importante,Expediente,,0,7,14,20 dias
29TP0027,FITA PROTETORA VERDE PARA DEDOS 25MMX15M,,UN,Importante,Consumivel,MRO-14,42,64,128,20 dias
29TP0028,FITA VEDA ROSCA 18MM X 10M,,UN,Importante,Consumivel,,0,20,40,20 dias
29TP0029,FITA ZEBRADA PRETO/AMARELO P/SINALIZACAO TAM. 70MM X 200M,,UN,Importante,Consumivel,,0,20,40,20 dias
29TP0030,"TAPE-023, 3M 244, 50M*12MM*0,08MM, RO",,UN,Importante,Consumivel,MRO-32,123,250,500,25 dias
29TP0046,NHE410BA FITA ANTIESTATICA DIM 13MMX36M QUADRICULADA,,UN,Importante,Consumivel,ARM-11,570,150,300,25 dias
29TP0047,NHE410K FITA KAPTON DIM 3MMX33M,,UN,Importante,Consumivel,MRO-18,406,100,200,25 dias
29TP0048,NHE410K FITA KAPTON DIM 8MMX33M,,UN,Importante,Consumivel,MRO-18,249,200,400,20 dias
29TP0052,Fita adesiva transp. durex 12mm x 40m,,UN,Importante,Expediente,,0,40,80,20 dias
29TP0081,"
FITA KAPTON DIM 13MMX33M",NHE410K FITA KAPTON DIM 13MMX33M,UN,Importante,Consumivel,MRO-18,0,0,0,25 dias
30UC0001,COTONETE,,UN,Importante,Consumivel,MRO-15,251,100,200,20 dias
30UC0003,ESCOVA ANTIEST.CABO MADEIRA CERDAS LATAO,,UN,Importante,Consumivel,MRO-15,350,100,200,20 dias
30UC0004,ESCOVA ANTIEST.CABO MADEIRA CERDAS MACIA,,UN,Importante,Consumivel,MRO-15,488,100,200,20 dias
30UC0005,ESCOVA ANTIEST.PRETA GR.C/CABO EM U TAM.21MM X 152MM X 30MM,,UN,Importante,Consumivel,MRO-20,97,10,20,25 dias
30UC0006,ESCOVA ANTIEST.PRETA PEQ.C/CABO EM U TAM.20MM X 66MM X28 MM,,UN,Importante,Consumivel,MRO-20,64,10,20,25 dias
30UC0007,ESCOVA ANTIEST.PRETA MEDIA  TAM.22MM X 90MM X 225MM,,UN,Importante,Consumivel,MRO-20,26,50,100,20 dias
30UC0008,ESCOVA ANTIEST.PRETA PEQUENA TAM.16MM X 58MM X 172MM,,UN,Importante,Consumivel,MRO-21,190,100,200,25 dias
30UC0009,ESPARADRAPO,,UN,Importante,Consumivel,ARM-EXP-03,6,2,4,20 dias
30UC0011,ESPONJA METALICA PARA FERRO DE SOLDA,,UN,Importante,Consumivel,MRO-13,577,122,244,20 dias
30UC0012,ESPONJA VEGETAL PARA FERRO DE SOLDA,,UN,Importante,Consumivel,MRO-15,0,50,100,25 dias
30UC0013,LIGA ELASTICA SUPER AMARELO N°18,,UN,Importante,Expediente,SEM-SALDO,0,6000,12000,20 dias
30UC0014,LIQUIDO LIMPEZA ANTIESTATICA NHE 376,,GL,Importante,Químico,GAIOLA-02,4,3,6,20 dias
30UC0015,LIXA D'AGUA 360°,,UN,Importante,Consumivel,MRO-19,417,500,1000,20 dias
30UC0019,PALITO ANTIEST. SPUDGER 5 GRAMAS NHE573A,,UN,Importante,Consumivel,MRO-14,195,170,340,20 dias
30UC0020,PANO DE CHAO ALVEJADO,,UN,Importante,Consumivel,MRO-33,400,640,1280,20 dias
30UC0021,PILHA ALCALINA AAA,,UN,Importante,Expediente,ARM-EXP-02,242,100,200,20 dias
30UC0022,PILHA ALCALINA C,,UN,Importante,Expediente,ARM-EXP-02,66,30,60,20 dias
30UC0023,PILHA BATERIA 9V,,UN,Importante,Expediente,ARM-EXP-02,29,30,60,20 dias
30UC0024,PILHA BATERIA CR2032 3V,,UN,Importante,Expediente,ARM-EXP-02,30,10,20,20 dias
30UC0025,PILHA COMUM AA,,UN,Importante,Expediente,ARM-EXP-02,2,76,152,20 dias
30UC0026,"PILHA LR44 ALCALINA 1,5V",,UN,Importante,Expediente,ARM-EXP-02,30,20,40,20 dias
30UC0027,PINCA ANTIEST. METALICA PONTA FINA 114MM,,UN,Importante,Consumivel,,0,10,20,25 dias
30UC0028,PINCA ANTIEST. PONTA FINA,,UN,Importante,Consumivel,,0,10,20,25 dias
30UC0029,PINCA CONDUT.ESD TZP 120MM PONTA CHATA 3.3MM,,UN,Importante,Consumivel,MRO-14,1046,161,322,20 dias
30UC0032,PONTA DE FERRO DE SOLDA T12- C3,,UN,Importante,Consumivel,SEM-SALDO,0,100,200,25 dias
30UC0040,"PONTA PHILIPS (BIT PH 2E, ENCAIXE 1/4"" COMPRIMENTO 75MM, DIAMETRO 4,5MM)",,UN,Importante,Ponta,,0,50,100,25 dias
30UC0041,"PONTA PHILIPS (BIT PH0, ENCAIXE 1/4"", COMPRIMENTO 50MM, DIAMETRO 2,97MM)",,UN,Importante,Ponta,MRO-19,14,50,100,25 dias
30UC0042,"PONTA PHILIPS DE PARAFUSAD.PH1 BIT 100MM 1/4"" ENGATE RAPIDO",,UN,Importante,Ponta,MRO-19,56,20,40,25 dias
30UC0043,PROTETOR P/ BICO SUGADOR DE SOLDA,,UN,Importante,Consumivel,MRO-19,36,20,40,25 dias
30UC0044,REFIL DE TINTA IMPRESSORA EPSON L3110 ECOTANK 544 AMARELO,,UN,Importante,Impressão,ARM-EXP-04,4,3,6,20 dias
30UC0045,REFIL DE TINTA IMPRESSORA EPSON L3110 ECOTANK 544 CIANO,,UN,Importante,Impressão,ARM-EXP-04,4,4,8,20 dias
30UC0046,REFIL DE TINTA IMPRESSORA EPSON L3110 ECOTANK 544 MAGENTA,,UN,Importante,Impressão,ARM-EXP-04,4,4,8,20 dias
30UC0047,REFIL DE TINTA IMPRESSORA EPSON L3110 ECOTANK 544 PRETO,,UN,Importante,Impressão,ARM-EXP-04,0,8,16,20 dias
30UC0049,"SACHE DE SILICA GEL 2,5CM X 6,0CM",,UN,Importante,Consumivel,,0,200,400,25 dias
30UC0050,SENSOR PARA TERMÔMETRO FERRO DE SOLDA,,UN,Importante,Consumivel,MRO-19,0,100,200,20 dias
30UC0051,SETAS DE SCRAP 10MM X 10MM,,UN,Importante,Consumivel,,0,15000,30000,25 dias
30UC0054,SUPORTE PARA ESPONJA DE METALICA,,UN,Importante,Consumivel,MRO-20,4,5,10,25 dias
30UC0095,POTEÇÃO P/STENCIL AZUL/TRANSPARENTE- STENCIL PROTECTION,,RL,Importante,Limpeza Stencil,,0,10,20,25 dias
30UC0099,VENTOSA ESD HAKKO A1167,,UN,Importante,Consumivel,,0,20,40,20 dias
30UC0279,AGUA DESMINERALIZADA GL C/ 5L,,GL,Importante,Químico,GAIOLA-02,4,2,4,20 dias
34FR0002,"ALICATE DE BICO,LONG NOSE PLIERS ZJ-125",,UN,Importante,Corte,MRO-18,12,30,60,20 dias
34FR0004,APLICADOR MANUAL DE FITA ADESIVA 72MM,,UN,Importante,Expediente,,0,3,6,25 dias
34FR0005,ESTILETE DE SEGURANCA VONDER 9MM,,UN,Importante,Expediente,ARM-EXP-01,5,10,20,20 dias
34FR0006,ESTILETE PEQUENO 9MM,,UN,Importante,Expediente,,0,3,6,20 dias
34FR0007,ESTILETE TRAPEZOIDAL RETRAT.STARRET S014,,UN,Importante,Expediente,ARM-EXP-05,17,9,18,20 dias
34FR0008,DISPENSADOR DE FITA SF 200,,UN,Importante,Expediente,MRO-20,0,5,10,20 dias
34FR0009,DISPENSADOR DE FLUIDOS AD60 180ML ESD,,UN,Importante,Consumivel,MRO-15,0,20,40,20 dias
34FR0010,DISPENSADOR- TE GREEN ADAPTOR 100CC PARA,,UN,Importante,Consumivel,MRO-19,109,25,50,25 dias
34FR0011,DISPENSADOR- TE GREEN ADAPTOR 55CC PARA,,UN,Importante,Consumivel,MRO-19,14,25,50,20 dias
34FR0012,SUGADOR DE SOLDA,,UN,Importante,Consumivel,MRO-19,0,10,20,25 dias
34FR0057,ALICATE DE CORTE 170 II XURON NHE575X,ALICATE DE CORTE 170 II XURON NHE575X,UN,Importante,Corte,MRO-18,0,40,80,20 dias
53EP0001,BONE ANTIESTATICO AZUL,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,33,30,60,45 dias
53EP0002,BONE ANTIESTATICO BRANCO,,UN,Importante,Vestimenta ESD,ARM-13,246,50,100,45 dias
53EP0003,BONE ANTIESTATICO LARANJA,,UN,Importante,Vestimenta ESD,ARM-13,26,20,40,45 dias
53EP0004,BONE ANTIESTATICO VERDE,,UN,Importante,Vestimenta ESD,ARM-13,1,30,60,45 dias
53EP0005,BONE ANTIESTATICO VINHO,,UN,Importante,Vestimenta ESD,ARM-13,36,10,20,45 dias
53EP0006,JALECO BRANCO ANTI. C/MANGA LONGA - EXGG,,UN,Importante,Vestimenta ESD,ARM-07,0,5,10,45 dias
53EP0007,JALECO BRANCO ANTI. C/MANGA LONGA TAM. G,,UN,Importante,Vestimenta ESD,ARM-03,10,30,60,45 dias
53EP0008,JALECO BRANCO ANTI. C/MANGA LONGA TAM.GG,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,20,40,45 dias
53EP0009,JALECO BRANCO ANTI. C/MANGA LONGA TAM. M,,UN,Importante,Vestimenta ESD,ARM-03,20,50,100,45 dias
53EP0010,JALECO BRANCO ANTI. C/MANGA LONGA TAM. P,,UN,Importante,Vestimenta ESD,ARM-02,41,50,100,45 dias
53EP0011,JALECO BRANCO ANTI. C/MANGA LONGA TAM.PP,,UN,Importante,Vestimenta ESD,ARM-02,9,30,60,45 dias
53EP0012,JALECO BRANCO ANTI. C/MANGA LONGA TAM.XG,,UN,Importante,Vestimenta ESD,,0,20,40,45 dias
53EP0013,JALECO BRANCO ANTI. C/MANGA LONGA TA.EXG GOLA LARANJA,,UN,Importante,Vestimenta ESD,,0,5,10,45 dias
53EP0014,JALECO BRANCO ANTI. C/MANGA LONGA TAM. G GOLA LARANJA,,UN,Importante,Vestimenta ESD,ARM-05,6,5,10,45 dias
53EP0015,JALECO BRANCO ANTI. C/MANGA LONGA TAM.GG GOLA LARANJA,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,5,10,45 dias
53EP0016,JALECO BRANCO ANTI. C/MANGA LONGA TAM. M GOLA LARANJA,,UN,Importante,Vestimenta ESD,ARM-04,16,10,20,45 dias
53EP0017,JALECO BRANCO ANTI. C/MANGA LONGA TAM. P GOLA LARANJA,,UN,Importante,Vestimenta ESD,ARM-04,5,10,20,45 dias
53EP0018,JALECO PRETO ANTI. C/MANGA LONGA TAM. XG,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,10,20,45 dias
53EP0019,JALECO PRETO ANTI. C/MANGA LONGA TAM.EXG,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,5,10,45 dias
53EP0020,JALECO PRETO ANTI. C/MANGA LONGA TAM. G,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,10,20,45 dias
53EP0021,JALECO PRETO ANTI. C/MANGA LONGA TAM. GG,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,5,10,45 dias
53EP0022,JALECO PRETO ANTI. C/MANGA LONGA TAM. M,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,10,20,45 dias
53EP0023,JALECO PRETO ANTI. C/MANGA LONGA TAM. P,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,10,20,45 dias
53EP0024,JALECO VINHO ANTI. C/MANGA LONGA TAM. EG,,UN,Importante,Vestimenta ESD,,0,5,10,45 dias
53EP0025,JALECO VINHO ANTI. C/MANGA LONGA TAM. G,,UN,Importante,Vestimenta ESD,ARM-01,7,5,10,45 dias
53EP0026,JALECO VINHO ANTI. C/MANGA LONGA TAM. GG,,UN,Importante,Vestimenta ESD,ARM-06,5,5,10,45 dias
53EP0027,JALECO VINHO ANTI. C/MANGA LONGA TAM. M,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,10,20,45 dias
53EP0028,JALECO VINHO ANTI. C/MANGA LONGA TAM. P,,UN,Importante,Vestimenta ESD,ARM-01,8,10,20,45 dias
53EP0029,JAQUETA ESD AZUL PETROLEO TAM.EXG- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,5,5,10,45 dias
53EP0030,JAQUETA ESD AZUL PETROLEO TAM.G - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,4,10,20,45 dias
53EP0031,JAQUETA ESD AZUL PETROLEO TAM.GG - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,9,5,10,45 dias
53EP0032,JAQUETA ESD AZUL PETROLEO TAM.M - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,5,10,20,45 dias
53EP0033,JAQUETA ESD AZUL PETROLEO TAM.P - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,5,15,30,45 dias
53EP0034,JAQUETA ESD AZUL PETROLEO TAM.PP - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,10,20,45 dias
53EP0035,JAQUETA ESD AZUL PETROLEO TAM.XG - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,1,10,20,45 dias
53EP0036,JAQUETA ESD AZUL PETROLEO TAM.EXGG - GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,SALA-COORDENADOR,1,5,10,45 dias
53EP0037,JAQUETA ESD VERDE TAM.EXG- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,5,10,45 dias
53EP0038,JAQUETA ESD VERDE TAM.EXGG- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,5,10,45 dias
53EP0039,JAQUETA ESD VERDE TAM.G- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,10,20,45 dias
53EP0040,JAQUETA ESD VERDE TAM.GG- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,8,16,45 dias
53EP0041,JAQUETA ESD VERDE TAM.M- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,10,20,45 dias
53EP0042,JAQUETA ESD VERDE TAM.P- GOLA AZUL MARINHO,,UN,Importante,Vestimenta ESD,,0,10,20,45 dias
53EP0051,LUVA AANTI-ESTATICA DISSIPADORA PRETA PALMA MAO-PU TAM.GG,,UN,Importante,ESD,SEM-SALDO,0,2,4,25 dias
53EP0056,COLETE ESD AZUL PETROLEO G,,UN,Importante,Vestimenta ESD,ARM-08,0,5,10,45 dias
53EP0057,COLETE ESD AZUL PETROLEO GG,,UN,Importante,Vestimenta ESD,ARM-07,17,5,10,45 dias
53EP0058,COLETE ESD AZUL PETROLEO M,,UN,Importante,Vestimenta ESD,ARM-08,12,10,20,45 dias
53EP0059,COLETE ESD AZUL PETROLEO P,,UN,Importante,Vestimenta ESD,ARM-10,11,10,20,45 dias
53EP0060,COLETE ESD AZUL PETROLEO PP,,UN,Importante,Vestimenta ESD,ARM-10,28,5,10,45 dias
53EP0061,COLETE ESD AZUL PETROLEO SM,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,5,10,45 dias
53EP0062,GORRO ANTIESTATICO AZUL PETROLEO,,UN,Importante,Vestimenta ESD,ARM-13,42,30,60,45 dias
53EP0063,GORRO ANTIESTATICO BRANCO,,UN,Importante,Vestimenta ESD,ARM-13,139,60,120,45 dias
53EP0064,GORRO ANTIESTATICO LARANJA,,UN,Importante,Vestimenta ESD,ARM-13,45,10,20,45 dias
53EP0065,GORRO ANTIESTATICO VERDE,,UN,Importante,Vestimenta ESD,ARM-13,11,20,40,45 dias
53EP0066,GORRO ANTIESTATICO VINHO,,UN,Importante,Vestimenta ESD,ARM-13,35,20,40,45 dias
53EP0068,TOUCA DESCARTAVEL,,PCT,Importante,Vestimenta ESD,ARM-14,400,200,400,20 dias
53EP0115,JALECO PRETO ANTI. C/MANGA LONGA TAM. EXGG,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,3,6,45 dias
53EP0116,JALECO PRETO ANTI. C/MANGA LONGA TAM. PP,,UN,Importante,Vestimenta ESD,SEM-SALDO,0,15,30,45 dias
53EP0117,Colete Azul Petróleo EXG,,UN,Importante,Vestimenta ESD,ARM-09,2,5,10,45 dias
"APLICADORDECOLAQUENTE11,2MM","APLICADOR DE COLA QUENTE 11,2MM","APLICADOR DE COLA QUENTE 11,2MM",UN,Importante,Consumivel,ARM-EXP-01,2,2,4,25 dias
CAMPAINHASEMFIOFAMEA002,CAMPAINHA SEM FIO FAME A002,CAMPAINHA SEM FIO FAME A002,UN,Importante,Consumivel,ARM-EXP-01,1,0,0,25 dias
CAMPAINHASEMFIOFAMEDRSCKN,CAMPAINHA SEM FIO FAME DRSCKN,CAMPAINHA SEM FIO FAME DRSCKN,UN,Importante,Consumivel,ARM-EXP-01,1,0,0,25 dias
CARIMBODELANCADONYKONC30D,CARIMBO DE LANCADO NYKON C30D,CARIMBO DE LANCADO NYKON C30D,UN,Importante,Consumivel,ARM-EXP-02,0,0,0,25 dias
COLETEAZULPETRÓLEOEXGG,Colete Azul Petróleo EXGG,Colete Azul Petróleo EXGG,UN,Importante,Vestimenta ESD,ARM-09,3,0,0,45 dias
FITADUREXC/LOGOINVENTUS,FITA DUREX C/ LOGO INVENTUS,,UN,Importante,Consumivel,ARM-11,30,50,100,25 dias
FITA018,FITA VEDA ROSCA 18MMX50MT PUMA,,UN,Importante,Consumivel,MRO-19,2,10,20,20 dias
HPC9386AL88CARTUCHODETINTACIANO13ML,HP C9386AL 88 CARTUCHO DE TINTA CIANO 13 ML,HP C9386AL 88 CARTUCHO DE TINTA CIANO 13 ML,UN,Importante,Impressão,ARM-EXP-04,1,2,4,25 dias
HPC9387AL88CARTUCHODETINTAMAGENTA13ML,HP C9387AL 88 CARTUCHO DE TINTA MAGENTA 13 ML,HP C9387AL 88 CARTUCHO DE TINTA MAGENTA 13 ML,UN,Importante,Impressão,ARM-EXP-04,1,2,4,25 dias
JALECOBRANCOANTI.C/MANGALONGATAM.EXG,JALECO BRANCO ANTI. C/MANGA LONGA TAM. EXG,JALECO BRANCO ANTI. C/MANGA LONGA TAM. EXG,UN,Importante,Vestimenta ESD,SALA-ALMOXARIFADO,1,10,20,45 dias
JALECOVINHOANTI.C/MANGALONGATAM.EXG,JALECO VINHO ANTI. C/MANGA LONGA TAM. EXG,JALECO VINHO ANTI. C/MANGA LONGA TAM. EXG,UN,Importante,Vestimenta ESD,ARM-06,1,3,6,45 dias
JALECOVINHOANTI.C/MANGALONGATAM.PP,JALECO VINHO ANTI. C/MANGA LONGA TAM. PP,JALECO VINHO ANTI. C/MANGA LONGA TAM. PP,UN,Importante,Vestimenta ESD,ARM-05,3,0,0,45 dias
"LAMINAPARAESTILETEOLFASKB-750MM2.0IN12,5MM0,5IN","LAMINA PARA ESTILETE OLFA SKB-7 50MM 2.0 IN 12,5MM 0,5 IN","LAMINA PARA ESTILETE OLFA SKB-7 50MM 2.0 IN 12,5MM 0,5 IN",UN,Importante,Corte,ARM-EXP-01,68,0,0,25 dias
LIMPADORALCALINO,LIMPADOR ALCALINO 20L,,GL,Importante,Químico,GAIOLA-02,2,0,0,25 dias
PONTAPHILLIPSPH2-65-D-31669MAKITA,PONTA PHILLIPS PH2-65-D-31669 MAKITA,,UN,Importante,Ponta,MRO-19,122,50,100,25 dias
PRESILHAPARACRACHA,PRESILHA PARA CRACHA - Jacare com alça transparente,PRESILHA PARA CRACHA - Jacare com alça transparente,UN,Importante,Consumivel,ARM-EXP-01,44,5,10,25 dias
TINTAPERMANENTEPILOTTC4242MLAZUL,TINTA PERMANENTE PILOT TC42 42ML AZUL,TINTA PERMANENTE PILOT TC42 42ML AZUL,UN,Importante,Expediente,ARM-EXP-04,4,0,0,25 dias
TINTAPERMANENTEPILOTTC4242MLPRETO,TINTA PERMANENTE PILOT TC42 42ML PRETO,TINTA PERMANENTE PILOT TC42 42ML PRETO,UN,Importante,Expediente,ARM-EXP-04,2,0,0,25 dias
TINTAPERMANENTEPILOTTC4242MLVERMELHO,TINTA PERMANENTE PILOT TC42 42ML VERMELHO,TINTA PERMANENTE PILOT TC42 42ML VERMELHO,UN,Importante,Expediente,ARM-EXP-04,1,0,0,25 dias
X101070029,PONTA DISPENSADORA ROSA CLARO METALICA 20G,,UN,Importante,Consumivel,,0,200,400,25 dias
X101070195,SERINGA DISPENSADORA PRETA PLAST.30CC C/PISTON,,UN,Importante,Consumivel,IM-22,0,50,100,25 dias
X101070195,PONTA DISPENSADORA DOSAGEM LARANJA,,UN,Importante,Consumivel,,0,80,160,25 dias
X101070442,PONTA DISPENSADORA VERDE OLIVA METALICA 14G,,UN,Importante,Consumivel,,0,150,300,25 dias
X101070478,PONTA DISPENSADORA DOSAGEM PRETA 16G,,UN,Importante,Consumivel,,0,200,400,25 dias
10PP0001,BOBINA TERMICA TAM.76X30M,,UN,Admin,Expediente,IM-21,50,10,20,25 dias
12PL0003,"ABRACADEIRA PLAST, NYLON,PRETA TAM.40CM",,UN,Admin,Consumivel,SEM-SALDO,0,180,360,20 dias
34FR0001,"ALICATE CORTADOR DESENCAPADOR 8"" 200MM",Nunca saiu,UN,Admin,Corte,SEM-SALDO,99999,5,10,20 dias
CARIMBO-001,CARIMBO AUTOENTIDADO,Carimbo Nykon Power Black 303 Preto,UN,Admin,Expediente,ARM-EXP-02,0,11,22,20 dias
